lat,lon,id
51.22021,4.39867,83
51.22223,4.48699,84
51.08664,4.7218,85
51.23133,4.45073,86
51.16294,4.49426,87
51.20122,4.48447,88
51.25058,4.45546,89
51.08327,4.66764,90
51.16335,4.49617,91
51.05271,4.37968,92
51.36155,4.44899,93
51.16884,4.73165,94
51.19284,4.37538,95
51.05366,4.35673,96
51.16473,4.45911,97
51.00791,4.59983,98
51.08908,4.36518,99
51.23036,4.4111,100
51.19977,4.41855,101
51.11643,4.65962,102
51.20281,4.45002,103
51.19469,4.47625,104
51.32682,5.07538,105
51.30344,4.96115,106
51.22921,4.5243,107
51.17691,4.34724,108
51.05477,4.45879,109
51.15785,5.03792,110
51.1451,4.85266,111
51.12941,4.93177,112
51.20362,4.65368,113
51.17589,4.57974,114
51.05944,4.64291,115
51.17189,4.38907,116
51.04372,4.32581,117
51.22664,4.42548,118
51.23842,4.40948,119
51.38397,4.47851,120
51.21025,4.43264,121
51.18028,4.39214,122
51.1558,4.45002,123
51.22926,4.46767,124
51.39903,4.75998,125
51.29245,4.86225,126
51.16503,4.60912,127
51.22223,4.47431,128
51.22718,4.41595,129
51.19578,4.45623,130
51.33523,4.93991,131
51.17536,4.46131,132
51.22699,4.46319,133
51.25966,4.54971,134
51.22866,4.38651,135
51.17741,4.39943,136
51.23963,4.81373,137
51.18689,5.11245,138
51.25005,4.42192,139
51.08314,4.37812,140
51.3192,4.42704,141
51.23355,4.40301,142
51.12313,4.48638,143
51.09521,4.51047,144
51.09056,4.51712,145
51.217,4.425,146
51.05044,4.70477,147
51.24977,5.18758,148
51.19108,4.44371,149
51.08711,4.84799,150
51.06791,4.58926,151
51.11891,4.32579,152
51.24378,4.41835,153
51.17184,4.38314,154
51.16912,5.16052,155
51.23645,4.82737,156
51.31041,4.87371,157
51.1916,4.37024,158
51.19833,4.42488,159
51.15563,4.8075,160
51.27108,4.52854,161
51.19598,4.44257,162
51.25887,4.45368,163
51.20329,4.48076,164
51.09555,4.37067,165
51.24967,4.43787,166
51.16592,4.35666,167
51.16926,4.38428,168
51.21311,4.41301,169
51.22246,4.40593,170
51.09386,4.50912,171
51.06333,4.98831,172
51.20565,4.41368,173
51.05066,4.35268,174
51.23222,4.41106,175
51.17006,4.40924,176
51.14304,4.41302,177
51.30857,4.95005,178
51.24074,4.64066,179
51.19713,4.7199,180
51.3215,4.9402,181
51.22804,4.40469,182
51.18388,4.35692,183
51.22985,4.44248,184
51.01135,4.59415,185
51.24518,4.47,186
51.39201,4.5069,187
51.2125,4.39924,188
51.21335,4.44172,189
51.19711,4.49139,190
51.27417,4.63356,191
51.20233,4.34374,192
51.26698,5.0924,193
51.20187,4.39237,194
51.24073,5.09887,195
51.18783,4.36277,196
51.20469,4.34819,197
51.0338,4.49782,198
51.18661,4.38981,199
51.30682,4.48009,200
51.39668,4.75695,201
51.22755,4.46212,202
51.22804,4.40475,203
51.22068,4.45935,204
51.18238,4.86234,205
51.2383,4.44811,206
51.3152,4.99078,207
51.32927,4.95506,208
51.46578,4.47087,209
51.15386,4.39069,210
51.24631,4.64394,211
51.09139,4.20525,212
51.18693,5.11612,213
51.2135,4.44092,214
51.15615,4.99908,215
51.26349,4.57227,216
51.24921,4.57076,217
51.2438,4.57976,218
51.13077,4.56973,219
51.2677,4.53066,220
51.20771,4.42582,221
51.3125,4.94507,222
51.12943,4.95625,223
51.21023,4.4161,224
51.19617,4.45219,225
51.23741,4.4311,226
51.01639,4.56903,227
51.39701,4.75699,228
51.18707,4.38481,229
51.22137,4.41916,230
51.20163,4.48679,231
51.17485,4.74406,232
51.32323,4.92519,233
51.05785,4.29457,234
51.08185,4.7725,235
51.21037,4.37379,236
51.32987,4.36016,237
51.22695,4.40836,238
51.16876,4.45205,239
51.2046,4.43796,240
51.25452,4.44926,241
51.21754,4.42115,242
51.16594,4.45376,243
51.08998,4.37235,244
51.06373,4.6772,245
51.18864,4.38099,246
51.29521,4.68866,247
51.37742,5.0767,248
51.21782,4.41641,249
51.21879,4.40344,250
51.21503,4.40521,251
51.01975,4.54387,252
51.21888,4.44871,253
51.1799,4.4278,254
51.1344,4.45203,255
51.10088,4.23239,256
51.16766,5.12198,257
51.22827,4.45669,258
51.16484,5.16649,259
51.21489,4.42992,260
51.31404,4.92728,261
51.13332,4.57798,262
51.2871,4.64115,263
51.07712,4.4202,264
51.38878,5.01547,265
51.17653,4.35005,266
51.22571,4.41655,267
51.10164,4.89978,268
51.1805,4.34574,269
51.16936,5.00417,270
51.14824,4.45371,271
51.23287,4.46478,272
51.20781,4.44616,273
51.17931,4.42443,274
51.02997,4.60806,275
51.17825,4.59224,276
51.14389,4.56829,277
51.09195,5.1169,278
51.15252,4.62003,279
51.22535,4.40397,280
51.30932,4.39848,281
51.28209,4.45141,282
51.27486,4.52893,283
51.17563,4.39344,284
51.3594,4.39965,285
51.15523,4.65995,286
51.13182,4.44078,287
51.20853,4.42854,288
51.18524,4.35542,289
51.29479,4.57271,290
51.39581,4.95056,291
51.06636,4.33709,292
51.22799,4.44009,293
51.2146,4.40144,294
51.14251,4.34418,295
51.18997,4.82841,296
51.18758,4.42762,297
51.07776,4.49175,298
51.27436,4.41185,299
51.35357,4.75822,300
51.03756,4.59573,301
51.22005,4.44719,302
51.31485,4.85623,303
51.30667,4.40596,304
51.30803,5.09268,305
51.02681,4.48194,306
51.25663,4.43392,307
51.24665,4.44506,308
51.2575,4.44625,309
51.21737,4.39923,310
51.06324,4.57574,311
51.22851,4.54297,312
51.22789,4.46802,313
51.38072,4.47384,314
50.99448,4.47286,315
51.08842,5.07121,316
51.01433,4.49181,317
51.14074,4.83962,318
51.19325,4.41229,319
51.20372,4.40323,320
51.22735,4.47562,321
51.12472,4.45408,322
51.1321,4.56109,323
51.29924,4.50917,324
51.0212,4.48132,325
51.26317,4.55656,326
51.20444,4.46281,327
51.02816,4.47989,328
51.18123,5.1068,329
51.20256,4.46637,330
51.18081,5.10458,331
51.17368,4.81321,332
51.21922,4.47278,333
51.25248,4.46613,334
