potential_aed_id,intervention_id,intervention_lat,intervention_lon,distance_to_potential_aed,distance_to_existing_aed,existing_aed_id,existing_aed_lat,existing_aed_lon,arrest_count,potential_aed_lat,potential_aed_lon
2252,"[12597, 13173, 13179, 14425, 15240, 17699]","[50.54305, 50.54753, 50.54755, 50.54409, 50.54287, 50.5484]","[3.3627, 3.36825, 3.36622, 3.36364, 3.36202, 3.37032]","[0.8750641964304686, 0.34921437177429143, 0.33009871424727816, 0.7446892303235926, 0.9102549850439522, 0.3484502807800299]","[1.2500797757393867, 0.7470122278404738, 0.8903759568622147, 1.1445583892645959, 1.3021106341691084, 0.6058314728552925]","[1893, 1893, 1893, 1893, 1893, 1893]","[50.5476824, 50.5476824, 50.5476824, 50.5476824, 50.5476824, 50.5476824]","[3.3788196, 3.3788196, 3.3788196, 3.3788196, 3.3788196, 3.3788196]",6,50.55050505050505,3.3666666666666667
2254,"[13291, 15958, 18306, 32773]","[50.59431, 50.59512, 50.59209, 50.59603]","[3.36954, 3.36635, 3.37445, 3.36781]","[0.4291237659913727, 0.4687649938858813, 0.5649109007061557, 0.5751101037672549]","[0.6695795291664832, 0.7460233563006866, 0.8234884159605718, 0.6019831780647208]","[13772, 13772, 13772, 13772]","[50.5994956, 50.5994956, 50.5994956, 50.5994956]","[3.3743623, 3.3743623, 3.3743623, 3.3743623]",4,50.59090909090909,3.3666666666666667
2255,"[12311, 14526, 14580, 17020, 17061]","[50.61622, 50.61563, 50.61351, 50.61034, 50.61531]","[3.36405, 3.36272, 3.36647, 3.36916, 3.36301]","[0.5973316539376751, 0.5744826004080187, 0.26710498912013764, 0.19571813649189884, 0.5334422335042847]","[0.6206702032554154, 0.6603243040312841, 0.3213446067282688, 0.2830430925432949, 0.6251369978865992]","[9405, 9405, 9405, 9405, 9405]","[50.6126569, 50.6126569, 50.6126569, 50.6126569, 50.6126569]","[3.3708213, 3.3708213, 3.3708213, 3.3708213, 3.3708213]",5,50.611111111111114,3.3666666666666667
2256,"[12723, 14258, 15828, 16393, 16641, 17194, 17522]","[50.63318, 50.63277, 50.63569, 50.63313, 50.63333, 50.63133, 50.63391]","[3.37163, 3.35774, 3.36976, 3.35839, 3.37031, 3.3578, 3.36842]","[0.4069869235907812, 0.6501112676341373, 0.533348190946422, 0.6177275255937447, 0.34106643622572985, 0.6253850446204811, 0.3141240768142689]","[0.7744755845463792, 1.0407105027175965, 0.7773614313763582, 1.0360583922124214, 0.7794563877348033, 0.9358204417760818, 0.8342002450374761]","[10663, 1148, 10663, 1148, 1148, 1148, 1148]","[50.6372972, 50.6264084, 50.6372972, 50.6264084, 50.6264084, 50.6264084, 50.6264084]","[3.3804874, 3.3685623, 3.3804874, 3.3685623, 3.3685623, 3.3685623, 3.3685623]",7,50.631313131313135,3.3666666666666667
2257,"[12250, 14885, 15413, 16809]","[50.64812, 50.65295, 50.64539, 50.64189]","[3.36571, 3.35969, 3.37458, 3.36259]","[0.3835015522326661, 0.5170879713900672, 0.8804391900136452, 1.1081948246077633]","[1.0184302306610753, 0.5944602172417279, 0.9234118989853969, 1.361522250573852]","[2208, 2208, 9634, 10663]","[50.657256, 50.657256, 50.6395157, 50.6372972]","[3.3646877, 3.3646877, 3.3838363, 3.3804874]",4,50.65151515151515,3.3666666666666667
2258,"[12400, 18442]","[50.68102, 50.6742]","[3.35804, 3.34811]","[1.1998114232687977, 1.3365013258402698]","[1.3927768739024389, 1.918332854193233]","[9676, 13797]","[50.69336, 50.6862316]","[3.3614303, 3.3285974]",2,50.67171717171717,3.3666666666666667
2260,"[13043, 14534]","[50.7035, 50.72099]","[3.36454, 3.38525]","[0.9702614442616991, 1.6383741496137798]","[1.1183951770429361, 3.2477928455906144]","[6432, 6432]","[50.7032004, 50.7032004]","[3.3486661, 3.3486661]",2,50.71212121212121,3.3666666666666667
2341,[15258],[50.32781],[3.40027],[0.4143998854080517],[19.831166485948902],[2558],[50.5060053],[3.3887676],1,50.32828282828283,3.4060606060606062
2342,[12676],[50.3525],[3.4094],[0.5054404255291777],[17.13146401561389],[2558],[50.5060053],[3.3887676],1,50.34848484848485,3.4060606060606062
2347,[14203],[50.44844],[3.42555],[1.384924681672527],[6.909927729408785],[2558],[50.5060053],[3.3887676],1,50.44949494949495,3.4060606060606062
