potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon,Province
4033,1,[0.4396202611439479],50.9796441681048,5.216764708477251,[20438],[50.9788],[5.21063],[6973],[0.694696545161712],[50.974747474747474],[5.218181818181819],Flanders
4038,1,[0.7400048894627114],51.00289521714649,5.2345045271036,[22308],[50.9963],[5.23309],[6974],[1.05408343082238],[50.994949494949495],[5.218181818181819],Flanders
5457,1,[0.5609953870903254],50.42375614131387,4.114354620114426,[14029],[50.42262],[4.12207],[4146],[0.8892456444821809],[50.42929292929293],[4.115151515151515],Région Wallonne
5456,1,[0.2688079077868858],50.62015758568907,4.251007958076602,[6877],[50.62253],[4.25174],[4456],[1.6246873072909935],[50.631313131313135],[4.233333333333333],Wallonia
4039,1,[0.1484792822505102],50.809989908651986,5.1915897603186485,[21851],[50.81099],[5.19299],[6865],[1.0258599710645395],[50.813131313131315],[5.17878787878788],Vlaams Gewest
5558,1,[0.9687931827612256],50.71708824721154,2.874089808202045,[14217],[50.70863],[2.87739],[1060],[1.2282572033420809],[50.71212121212121],[2.893939393939394],Région Wallonne
5571,1,[0.3886730944918192],50.79541030170699,3.119986321265845,[8285],[50.7989],[3.1196699999999997],[1664],[0.9996469511686846],[50.792929292929294],[3.1303030303030304],Vlaams Gewest
5451,1,[1.0082229507953138],50.501903225519776,4.25051017744356,[11870],[50.49712],[4.26262],[4549],[1.0751266846047445],[50.48989898989899],[4.272727272727273],Wallonia
3944,1,[0.3814906005280607],50.51941522350526,4.560140344061776,[11449],[50.52284],[4.55982],[5251],[1.1535532028577271],[50.53030303030303],[4.548484848484849],Région Wallonne
3916,1,[0.562738860747148],50.39395561554692,4.291567602129121,[13902],[50.39388],[4.28363],[4544],[0.951522744149559],[50.388888888888886],[4.272727272727273],Région Wallonne
3922,1,[0.9365354950636342],50.25578581878331,4.422028554908721,[25684],[50.25772],[4.43485],[4938],[1.1533563729533272],[50.26767676767677],[4.430303030303031],Wallonia
5850,1,[0.8677570994480519],50.76867093247518,2.926446401581328,[9122],[50.76206],[2.91989],[1162],[1.4206659438875409],[50.75252525252525],[2.9333333333333336],Flanders
5825,1,[0.3335158228939783],50.695121054293814,2.906071787324562,[10403],[50.6981],[2.90552],[1059],[1.066631797344587],[50.69191919191919],[2.893939393939394],Wallonia
5779,1,[0.1554562129786874],50.8111628863828,3.016613768945921,[9859],[50.81245],[3.01575],[1365],[0.2659733281285024],[50.813131313131315],[3.012121212121212],Flanders
5727,1,[1.0431729061065087],50.75563603787889,3.1389861859309325,[9791],[50.74862],[3.14883],[1662],[1.3738562026676648],[50.75252525252525],[3.1303030303030304],Hauts-de-France
5724,1,[0.3749254244548339],50.7636329448199,2.9413060559584694,[13333],[50.76288],[2.93611],[1163],[1.112242895397253],[50.77272727272727],[2.9333333333333336],Wallonia
3931,1,[0.9786997052225532],50.478026720866325,4.590795195321749,[8808],[50.47866],[4.577],[5348],[1.2593597456040788],[50.46969696969697],[4.587878787878788],Région Wallonne
5715,1,[0.139322540472197],50.85200720241938,2.739680890437971,[8269],[50.8531],[2.73871],[667],[0.1716770751130542],[50.85353535353536],[2.7363636363636363],Vlaams Gewest
5675,1,[0.87237263693201],50.73211671728919,3.113359056822916,[11894],[50.73982],[3.11101],[1661],[1.593218969120226],[50.73232323232323],[3.1303030303030304],Hauts-de-France
3976,1,[0.659311929000203],50.342024065431254,4.410427566133008,[10449],[50.34591],[4.40341],[4842],[0.9320921303804466],[50.34848484848485],[4.390909090909091],Wallonia
3952,1,[0.5251044084445655],50.39680159699121,4.315176225777375,[11322],[50.39798],[4.32235],[4644],[1.2440493815048572],[50.388888888888886],[4.3121212121212125],Région Wallonne
3957,1,[0.5586970864068734],50.48661902855126,4.5312125998466035,[11041],[50.48451],[4.53838],[5249],[0.9328188694197764],[50.48989898989899],[4.548484848484849],Wallonia
5661,1,[0.1287893204430269],50.81679457848203,2.892819457797428,[8265],[50.8158],[2.89188],[1065],[0.3301383988304706],[50.813131313131315],[2.893939393939394],Vlaams Gewest
5655,1,[0.8055379145139553],50.75133730664305,3.106966184999691,[12474],[50.75062],[3.11836],[1662],[0.8665047389597178],[50.75252525252525],[3.1303030303030304],Hauts-de-France
5651,1,[0.6303366165255215],50.69730729000009,3.075195487769147,[12637],[50.70282],[3.07311],[1560],[1.624991999578875],[50.71212121212121],[3.090909090909091],Hauts-de-France
