potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon
7970,3,"[1.1630444584653503, 1.1630444584653503, 1.1630444584653503]",50.91414141414141,5.612121212121212,"[36193, 38817, 38818]","[50.91706, 50.91706, 50.91706]","[5.59619, 5.59619, 5.59619]","[373, 373, 373]","[1.8165856910477216, 1.8165856910477216, 1.8165856910477216]","[50.9252066, 50.9252066, 50.9252066]","[5.5737264, 5.5737264, 5.5737264]"
7969,3,"[0.5267079851418214, 0.5433935394094199, 0.5433935394094199]",50.89393939393939,5.612121212121212,"[36679, 38835, 38836]","[50.89101, 50.8892, 50.8892]","[5.60622, 5.61401, 5.61401]","[385, 385, 385]","[0.5526905860293845, 0.6033628253175944, 0.6033628253175944]","[50.8860634, 50.8860634, 50.8860634]","[5.6069912, 5.6069912, 5.6069912]"
4564,3,"[0.7325248606635697, 0.6756624367266008, 0.6756624367266008]",50.792929292929294,4.272727272727273,"[49521, 53291, 53292]","[50.79736, 50.79898, 50.79898]","[4.28044, 4.27361, 4.27361]","[11707, 7008, 7008]","[0.846339569833025, 1.129974219928959, 1.129974219928959]","[50.7950474, 50.7992559, 50.7992559]","[4.2919124, 4.2575377, 4.2575377]"
8251,3,"[0.433039087931127, 1.0840557833441091, 1.0840557833441091]",50.53030303030303,5.7303030303030305,"[29193, 42802, 42803]","[50.53052, 50.52061, 50.52061]","[5.73642, 5.72866, 5.72866]","[7859, 7859, 7859]","[0.5199328580077043, 1.3729612528373876, 1.3729612528373876]","[50.5329229, 50.5329229, 50.5329229]","[5.7301096, 5.7301096, 5.7301096]"
5223,3,"[1.2396617560234695, 1.2396617560234695, 1.2396617560234695]",49.964646464646464,4.548484848484849,"[19332, 19333, 19334]","[49.96576, 49.96576, 49.96576]","[4.53124, 4.53124, 4.53124]","[5561, 5561, 5561]","[8.870131090303122, 8.870131090303122, 8.870131090303122]","[50.0429467, 50.0429467, 50.0429467]","[4.4999046, 4.4999046, 4.4999046]"
7570,3,"[0.6196217114135807, 1.0742738840897414, 0.7786611664824127]",50.91414141414141,5.454545454545455,"[36951, 36980, 38629]","[50.91486, 50.90469, 50.92057]","[5.46331, 5.45137, 5.45895]","[8215, 8215, 8652]","[1.3568663261382603, 1.3006709414397242, 0.8420745804066994]","[50.9154178, 50.9154178, 50.9264017]","[5.4439755, 5.4439755, 5.4512857]"
6874,3,"[0.5558984627679081, 0.5558984627679081, 0.5776994810667783]",50.994949494949495,5.17878787878788,"[37177, 37178, 41555]","[50.99731, 50.99731, 50.998]","[5.18579, 5.18579, 5.1854700000000005]","[845, 845, 8177]","[0.6591141330315861, 0.6591141330315861, 0.6451390321934324]","[50.9918597, 50.9918597, 51.0013636]","[5.1894924, 5.1894924, 5.1929818]"
2158,3,"[0.8775936384119699, 1.2753312252959532, 1.2753312252959532]",50.67171717171717,3.327272727272727,"[21823, 26739, 26740]","[50.66685, 50.6629, 50.6629]","[3.31747, 3.3156999999999996, 3.3156999999999996]","[1671, 1671, 1671]","[1.2232049128496258, 1.576698474863178, 1.576698474863178]","[50.6763992, 50.6763992, 50.6763992]","[3.3088529, 3.3088529, 3.3088529]"
6434,3,"[1.119279878848571, 1.119279878848571, 0.9283742136242406]",50.186868686868685,5.0212121212121215,"[45023, 45024, 46142]","[50.18941, 50.18941, 50.18501]","[5.006, 5.006, 5.0085]","[8853, 8853, 5444]","[1.8590499373961409, 1.8590499373961409, 1.8495831789289272]","[50.2008294, 50.2008294, 50.16859]","[5.025075, 5.025075, 5.00435]"
5229,3,"[1.3167011617870257, 1.3167011617870257, 1.3167011617870257]",50.08585858585859,4.548484848484849,"[44307, 44308, 44309]","[50.08421, 50.08421, 50.08421]","[4.53021, 4.53021, 4.53021]","[1992, 1992, 1992]","[1.738676166644188, 1.738676166644188, 1.738676166644188]","[50.0955263, 50.0955263, 50.0955263]","[4.5133915, 4.5133915, 4.5133915]"
5030,3,"[1.119034445391666, 1.119034445391666, 1.119034445391666]",50.10606060606061,4.46969696969697,"[18668, 18675, 18676]","[50.10629, 50.10629, 50.10629]","[4.45401, 4.45401, 4.45401]","[912, 912, 912]","[4.260656071261728, 4.260656071261728, 4.260656071261728]","[50.0829775, 50.0829775, 50.0829775]","[4.5014117, 4.5014117, 4.5014117]"
4577,3,"[1.2123257004416412, 1.2123257004416412, 1.2321379514540889]",51.05555555555556,4.272727272727273,"[5863, 5864, 39183]","[51.04554, 51.04554, 51.04699]","[4.27958, 4.27958, 4.28391]","[8737, 8737, 12850]","[1.3234660626971977, 1.3234660626971977, 1.5476807087565974]","[51.0418923, 51.0418923, 51.0603497]","[4.2615603, 4.2615603, 4.2776982]"
7325,3,"[0.6791711097255534, 0.6791711097255534, 0.6791711097255534]",50.005050505050505,5.375757575757576,"[43110, 43111, 43341]","[50.00442, 50.00442, 50.00442]","[5.38521, 5.38521, 5.38521]","[6774, 6774, 6774]","[2.489961892146122, 2.489961892146122, 2.489961892146122]","[50.025494, 50.025494, 50.025494]","[5.3734277, 5.3734277, 5.3734277]"
8654,3,"[0.1794521384646, 0.081983639449276, 0.1660075235439203]",50.59090909090909,5.887878787878789,"[28189, 29277, 32072]","[50.59076, 50.59086, 50.58942]","[5.89041, 5.88672, 5.88771]","[9379, 269, 269]","[0.3193918047858222, 0.3015144951845668, 0.3376280782017303]","[50.5916172, 50.5896024, 50.5896024]","[5.8947283, 5.882936, 5.882936]"
7962,3,"[0.1206427942999037, 0.1206427942999037, 0.7766407937771536]",50.75252525252525,5.612121212121212,"[30710, 30711, 30806]","[50.75296, 50.75296, 50.74603]","[5.61055, 5.61055, 5.61618]","[10449, 10449, 3769]","[0.699356068135455, 0.699356068135455, 0.903295502861032]","[50.7588219, 50.7588219, 50.73902]","[5.614153, 5.614153, 5.6096929]"
4627,3,"[0.8258772994671877, 1.1224721651396408, 1.1224721651396408]",50.04545454545455,4.3121212121212125,"[21638, 23691, 23692]","[50.05154, 50.04578, 50.04578]","[4.30549, 4.29641, 4.29641]","[7090, 7764, 7764]","[0.8346402399815551, 1.2484130012645374, 1.2484130012645374]","[50.0493018, 50.0459156, 50.0459156]","[4.3166479, 4.3138919, 4.3138919]"
9337,3,"[0.6168818882420569, 0.6168818882420569, 0.7194150096484232]",50.24747474747475,6.163636363636364,"[28983, 28984, 31082]","[50.24194, 50.24194, 50.24173]","[6.16423, 6.16423, 6.16829]","[2975, 2975, 2975]","[4.070281481846117, 4.070281481846117, 4.265178372179127]","[50.2714841, 50.2714841, 50.2714841]","[6.1304273, 6.1304273, 6.1304273]"
2556,3,"[0.4997674510654264, 0.4997674510654264, 0.4997674510654264]",50.631313131313135,3.484848484848485,"[15521, 15522, 15523]","[50.63258, 50.63258, 50.63258]","[3.47805, 3.47805, 3.47805]","[2281, 2281, 2281]","[2.281477610098255, 2.281477610098255, 2.281477610098255]","[50.6209471, 50.6209471, 50.6209471]","[3.5046928, 3.5046928, 3.5046928]"
6253,3,"[1.1379187335549852, 0.5650085171494358, 0.5650085171494358]",50.57070707070707,4.942424242424243,"[46581, 48339, 48340]","[50.58075, 50.57088, 50.57088]","[4.94552, 4.95042, 4.95042]","[1598, 5522, 5522]","[2.411548450017276, 2.7274674532444, 2.7274674532444]","[50.5934688, 50.5548582, 50.5548582]","[4.917852, 4.9211817, 4.9211817]"
8282,3,"[0.3483211691400805, 0.3483211691400805, 1.348084397255347]",51.156565656565654,5.7303030303030305,"[36879, 36880, 40056]","[51.15356, 51.15356, 51.16224]","[5.73171, 5.73171, 5.71322]","[7274, 7274, 10469]","[0.6228438878517577, 0.6228438878517577, 1.3676781144356993]","[51.1479588, 51.1479588, 51.1681191]","[5.7316405, 5.7316405, 5.7304488]"
8304,3,"[0.1753537357345401, 0.1753537357345401, 1.573686544467769]",49.58080808080808,5.7696969696969695,"[42102, 42103, 42509]","[49.57927, 49.57927, 49.59041]","[5.76916, 5.76916, 5.75366]","[11882, 11882, 11888]","[0.9918485902454006, 0.9918485902454006, 1.900198572211773]","[49.5769625, 49.5769625, 49.591897]","[5.7824483, 5.7824483, 5.7273979]"
1861,3,"[0.2343310731448792, 0.3603950519239758, 0.3603950519239758]",50.73232323232323,3.209090909090909,"[21597, 43313, 43314]","[50.73443, 50.73338, 50.73338]","[3.20901, 3.20425, 3.20425]","[1725, 1036, 1036]","[0.2497595071973812, 0.4832989401014748, 0.4832989401014748]","[50.7339466, 50.7292505, 50.7292505]","[3.2124757, 3.2063922, 3.2063922]"
