lat,lon
51.2571,4.41454
51.44223,4.923
51.36609,4.99218
51.21508,4.49279
51.03382,4.45688
51.34899,4.63692
51.197,4.41974
51.20172,4.42602
51.19291,5.12473
51.17589,4.57974
51.19762,4.41052
51.044,4.47278
51.169,4.44302
51.1704,4.64843
51.12415,4.50906
51.03943,4.84852
51.19257,4.48929
51.00619,4.45748
51.12656,4.48273
51.19436,4.43519
51.18602,4.45173
51.21937,4.44906
51.10373,4.37006
51.00578,4.48614
51.31725,4.86832
51.07283,4.80348
51.31087,4.40745
51.33077,4.4073
51.28617,4.44851
51.217,4.41246
50.99783,4.52698
51.08128,4.32035
51.16297,4.38779
51.25037,4.46604
51.30737,4.56173
51.43513,4.7512
51.06277,4.36109
51.22418,4.43185
51.09743,4.23345
51.17618,4.83764
51.16805,4.93446
51.17669,4.37962
51.27935,4.43787
51.307,4.73427
51.18821,4.42047
51.3001,4.7369
51.09176,4.49791
51.09543,4.33665
51.16202,4.39097
51.25708,4.41537
51.08863,4.22603
51.07546,4.71631
51.15064,4.45894
51.17076,4.83126
51.17614,4.98477
51.14881,4.60653
51.0528,4.87451
51.34,4.28554
51.36593,4.46242
51.31983,4.95383
51.20741,4.38623
51.18857,4.42993
51.22525,4.63242
51.06493,4.34417
51.22892,5.07719
51.22313,4.42676
51.36974,4.99209
51.14974,4.53304
51.15482,4.67603
51.30861,4.32057
51.29137,4.46095
51.25101,4.82021
51.18296,4.36064
51.0878,4.86974
51.19993,4.44159
51.24169,4.37533
51.17495,4.46843
51.30415,4.486
51.27111,5.084
51.1751,5.18165
51.30826,4.50227
51.21758,4.41797
51.22383,4.41721
51.23108,5.07283
51.23293,4.42375
51.12194,5.04445
51.26365,4.56712
51.38814,4.47537
51.21963,4.40107
51.19142,4.44556
51.13812,4.62348
51.25596,4.49509
51.40314,4.76071
51.25398,4.44457
51.26081,4.41983
51.19857,4.40747
51.28504,4.42084
51.09511,4.51094
51.41648,4.70442
51.05466,4.88778
51.22477,4.51149
51.06133,4.5802
51.15529,4.45743
51.31164,4.42308
51.23139,5.0774
51.09961,4.23579
51.21105,4.39829
51.31527,4.94015
51.06066,4.58324
51.10173,4.90025
51.17884,4.4535
51.14,4.33732
51.27132,4.64588
51.40958,4.76128
51.32136,5.08988
51.29807,4.49187
51.17502,5.16174
51.26876,5.07991
51.21732,4.4273
51.19998,4.44158
51.0077,4.51825
51.17444,4.4082
51.35457,4.76222
51.16902,4.43831
51.02439,4.47418
51.25629,4.4598
51.02702,4.4762
51.12781,4.57744
51.1955,4.49065
51.18,4.3481
51.21016,4.39418
51.08266,5.02846
51.32065,4.77366
51.26959,5.08164
51.25792,4.96535
51.19956,4.40801
51.28055,4.41999
51.16383,4.49138
51.1877,4.37488
51.22725,4.47677
51.23311,4.37747
51.17864,4.36038
51.29581,4.32092
51.23695,4.33068
51.30576,4.94457
51.3044,4.41272
51.18032,4.37526
51.21219,4.40845
51.41688,4.61731
51.1942,4.45706
51.204,4.42462
51.1286,5.00572
51.47487,4.72295
51.17967,4.37694
51.22344,4.40334
51.18467,4.44124
51.34775,4.64122
51.26001,4.44976
51.07791,4.40242
51.19875,4.47504
51.23334,4.40803
51.20953,4.40752
51.1799,4.4278
51.22696,4.41812
51.13598,5.08183
51.13849,4.43876
51.24243,4.43244
51.33277,4.36532
51.24605,4.46106
51.18406,4.60406
51.35034,4.63943
51.03345,4.50773
51.22301,4.42834
51.34763,4.7092
51.15123,4.90048
51.24036,4.4383
51.22125,4.4302
51.19823,4.43906
51.23528,4.97104
51.08782,4.61635
51.05666,4.35858
51.15986,5.01026
51.22851,4.37623
51.1402,4.7614
51.07826,5.03785
51.19299,4.43422
51.09084,5.08764
51.22348,4.4006
51.22754,4.45303
51.17654,4.82785
51.20676,4.40984
51.02168,4.49024
51.0561,4.45842
51.2548,4.54915
51.20479,4.91545
51.22634,4.47379
51.24966,4.43704
51.04389,4.8832
51.20673,4.52128
51.20091,4.48257
51.04243,4.51447
51.21756,4.46897
51.21118,4.75751
51.29138,4.49338
51.31283,4.41717
51.45791,4.44458
51.06641,4.51699
51.41251,4.47061
51.1893,4.37264
51.30655,4.73689
51.30009,4.93856
51.18141,4.36784
51.25494,4.62421
51.19895,4.43007
51.16791,4.46034
51.36993,4.99203
51.22485,4.42186
51.23875,4.64617
51.19066,5.10058
51.19944,4.4078
51.29725,4.44722
51.21889,4.43216
51.28681,4.38442
51.0245,4.50057
51.45507,4.52793
51.31264,4.4507
51.32492,4.94019
51.21141,4.43566
51.16444,4.49221
51.21044,4.45067
51.30466,4.52716
